age,gender,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Cluster,Cluster_Description
54,Female,98,9,42,Sports,894.21,0,Khách hàng thông thường - Chi tiêu trung bình
47,Male,52,5,10,Home & Garden,21.43,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Male,27,10,30,Electronics,223.64,0,Khách hàng thông thường - Chi tiêu trung bình
25,Other,70,2,37,Groceries,556.23,1,Khách hàng thông thường - Chi tiêu trung bình
49,Other,25,7,21,Groceries,271.52,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
66,Other,98,9,44,Home & Garden,827.44,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Other,69,8,22,Clothing,150.58,0,Khách hàng thông thường - Chi tiêu trung bình
46,Other,55,9,22,Clothing,486.25,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Male,19,3,28,Sports,935.64,1,Khách hàng thông thường - Chi tiêu trung bình
37,Other,74,3,10,Electronics,624.29,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Male,59,2,35,Groceries,12.36,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Female,82,6,19,Sports,759.6,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Other,96,7,41,Sports,25.44,1,Khách hàng thông thường - Chi tiêu trung bình
60,Other,18,2,47,Electronics,599.66,1,Khách hàng thông thường - Chi tiêu trung bình
64,Other,68,9,28,Electronics,934.88,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Female,75,3,8,Electronics,611.79,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Male,77,10,44,Clothing,785.29,0,Khách hàng thông thường - Chi tiêu trung bình
53,Other,68,10,8,Home & Garden,543.31,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Female,42,9,12,Home & Garden,999.74,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Other,29,3,41,Groceries,484.85,1,Khách hàng thông thường - Chi tiêu trung bình
33,Female,100,9,48,Sports,21.9,0,Khách hàng thông thường - Chi tiêu trung bình
28,Female,75,9,49,Electronics,109.03,0,Khách hàng thông thường - Chi tiêu trung bình
69,Male,14,2,10,Groceries,874.32,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Female,6,5,15,Clothing,192.31,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Other,74,9,17,Home & Garden,886.08,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Other,68,4,48,Clothing,730.8,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Other,88,5,20,Clothing,609.57,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Female,43,1,28,Groceries,261.36,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Other,38,5,11,Clothing,997.24,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Male,24,6,14,Clothing,764.05,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Other,63,2,30,Electronics,634.19,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Female,96,1,14,Clothing,577.0,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Other,46,4,42,Home & Garden,802.44,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
34,Male,9,10,26,Clothing,835.06,0,Khách hàng thông thường - Chi tiêu trung bình
33,Male,27,9,46,Electronics,886.3,0,Khách hàng thông thường - Chi tiêu trung bình
43,Male,27,3,36,Electronics,223.98,1,Khách hàng thông thường - Chi tiêu trung bình
63,Female,20,1,26,Sports,169.58,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Male,66,2,43,Clothing,184.8,0,Khách hàng thông thường - Chi tiêu trung bình
31,Male,69,2,22,Clothing,486.21,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
56,Male,69,2,41,Home & Garden,98.83,1,Khách hàng thông thường - Chi tiêu trung bình
38,Male,70,7,27,Sports,631.28,1,Khách hàng thông thường - Chi tiêu trung bình
43,Male,61,1,19,Electronics,680.92,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Female,32,6,41,Clothing,934.34,0,Khách hàng thông thường - Chi tiêu trung bình
62,Other,63,5,22,Home & Garden,723.93,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Other,72,3,47,Sports,553.44,1,Khách hàng thông thường - Chi tiêu trung bình
47,Other,43,1,35,Clothing,547.85,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Other,79,7,18,Electronics,871.12,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
56,Other,23,3,48,Sports,98.85,1,Khách hàng thông thường - Chi tiêu trung bình
40,Male,47,4,9,Sports,101.35,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Male,40,5,37,Sports,82.16,1,Khách hàng thông thường - Chi tiêu trung bình
59,Male,5,6,31,Groceries,82.77,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
55,Other,38,2,23,Groceries,652.26,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Female,2,6,19,Groceries,412.65,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Other,39,5,25,Home & Garden,69.81,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
59,Female,33,7,42,Electronics,492.87,0,Khách hàng thông thường - Chi tiêu trung bình
50,Female,93,9,47,Electronics,559.16,0,Khách hàng thông thường - Chi tiêu trung bình
32,Male,50,6,13,Sports,844.22,1,Khách hàng thông thường - Chi tiêu trung bình
48,Male,82,5,27,Sports,463.07,1,Khách hàng thông thường - Chi tiêu trung bình
26,Other,81,2,12,Home & Garden,126.35,1,Khách hàng thông thường - Chi tiêu trung bình
54,Female,14,3,46,Electronics,685.09,1,Khách hàng thông thường - Chi tiêu trung bình
64,Female,44,4,8,Groceries,509.31,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Male,45,7,29,Sports,139.39,1,Khách hàng thông thường - Chi tiêu trung bình
53,Male,45,5,22,Electronics,154.06,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Male,38,8,30,Sports,684.43,1,Khách hàng thông thường - Chi tiêu trung bình
69,Other,47,4,33,Electronics,315.49,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
44,Male,55,2,50,Groceries,897.57,1,Khách hàng thông thường - Chi tiêu trung bình
68,Female,27,8,17,Electronics,85.45,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
20,Female,47,2,49,Electronics,506.7,1,Khách hàng thông thường - Chi tiêu trung bình
18,Other,84,1,10,Electronics,539.74,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Other,45,5,12,Electronics,592.72,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Other,67,9,5,Home & Garden,714.29,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
34,Male,43,5,40,Clothing,117.01,0,Khách hàng thông thường - Chi tiêu trung bình
43,Female,4,3,38,Sports,261.19,1,Khách hàng thông thường - Chi tiêu trung bình
46,Other,16,2,22,Home & Garden,85.56,1,Khách hàng thông thường - Chi tiêu trung bình
55,Other,44,2,49,Clothing,727.51,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Male,15,9,38,Home & Garden,937.85,0,Khách hàng thông thường - Chi tiêu trung bình
41,Other,69,1,32,Home & Garden,456.67,1,Khách hàng thông thường - Chi tiêu trung bình
59,Other,100,2,42,Groceries,588.18,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Male,11,6,49,Clothing,801.59,0,Khách hàng thông thường - Chi tiêu trung bình
41,Female,55,9,44,Groceries,488.07,0,Khách hàng thông thường - Chi tiêu trung bình
68,Other,79,1,23,Groceries,122.02,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
28,Male,60,4,42,Groceries,68.31,1,Khách hàng thông thường - Chi tiêu trung bình
30,Male,88,9,37,Groceries,555.41,0,Khách hàng thông thường - Chi tiêu trung bình
38,Other,70,1,38,Sports,816.09,1,Khách hàng thông thường - Chi tiêu trung bình
21,Other,14,3,1,Sports,505.98,1,Khách hàng thông thường - Chi tiêu trung bình
58,Other,27,9,9,Groceries,249.39,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Male,83,3,31,Groceries,53.26,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Other,96,7,16,Groceries,843.6,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Male,88,2,38,Groceries,67.52,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
42,Other,70,7,33,Home & Garden,592.52,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
28,Female,92,9,50,Sports,205.58,0,Khách hàng thông thường - Chi tiêu trung bình
48,Other,28,7,34,Groceries,463.78,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
31,Other,45,10,9,Electronics,637.02,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Female,69,4,25,Clothing,532.23,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Male,91,8,27,Home & Garden,265.17,0,Khách hàng thông thường - Chi tiêu trung bình
41,Male,42,5,33,Home & Garden,239.72,1,Khách hàng thông thường - Chi tiêu trung bình
33,Male,27,10,9,Clothing,535.28,0,Khách hàng thông thường - Chi tiêu trung bình
62,Female,14,7,11,Electronics,26.72,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
38,Female,36,5,20,Sports,279.77,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Female,58,6,30,Home & Garden,211.56,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
44,Male,38,2,19,Sports,912.15,1,Khách hàng thông thường - Chi tiêu trung bình
56,Female,44,7,13,Electronics,326.5,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Other,16,4,48,Groceries,85.44,1,Khách hàng thông thường - Chi tiêu trung bình
47,Female,57,4,2,Electronics,138.3,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Other,100,10,47,Home & Garden,475.52,0,Khách hàng thông thường - Chi tiêu trung bình
63,Other,57,4,25,Sports,857.68,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
38,Other,68,5,6,Sports,349.35,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Other,88,9,30,Clothing,703.94,0,Khách hàng thông thường - Chi tiêu trung bình
49,Other,34,5,41,Clothing,253.63,0,Khách hàng thông thường - Chi tiêu trung bình
57,Male,18,1,21,Electronics,862.12,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Male,19,2,25,Groceries,910.52,1,Khách hàng thông thường - Chi tiêu trung bình
38,Male,91,7,27,Electronics,617.64,0,Khách hàng thông thường - Chi tiêu trung bình
28,Female,98,5,37,Electronics,612.09,0,Khách hàng thông thường - Chi tiêu trung bình
21,Male,32,5,38,Home & Garden,533.18,1,Khách hàng thông thường - Chi tiêu trung bình
26,Other,51,4,37,Home & Garden,685.36,1,Khách hàng thông thường - Chi tiêu trung bình
63,Other,66,7,12,Sports,971.02,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
21,Other,42,4,23,Home & Garden,278.15,1,Khách hàng thông thường - Chi tiêu trung bình
19,Other,84,8,32,Clothing,735.3,0,Khách hàng thông thường - Chi tiêu trung bình
65,Female,91,5,12,Clothing,782.55,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Female,74,10,39,Home & Garden,217.92,0,Khách hàng thông thường - Chi tiêu trung bình
63,Other,20,2,37,Sports,648.38,1,Khách hàng thông thường - Chi tiêu trung bình
23,Female,99,9,26,Electronics,696.9,0,Khách hàng thông thường - Chi tiêu trung bình
20,Male,93,4,3,Groceries,459.87,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Female,71,5,16,Sports,372.03,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Other,91,1,31,Electronics,930.97,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Other,69,10,28,Sports,212.08,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Female,11,4,29,Groceries,826.87,1,Khách hàng thông thường - Chi tiêu trung bình
25,Female,36,5,42,Electronics,389.97,0,Khách hàng thông thường - Chi tiêu trung bình
46,Male,100,1,9,Home & Garden,617.74,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Female,87,5,32,Home & Garden,388.15,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Female,95,8,19,Clothing,78.82,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
59,Other,75,2,6,Sports,383.64,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
67,Female,56,10,37,Sports,998.98,0,Khách hàng thông thường - Chi tiêu trung bình
68,Other,45,5,22,Electronics,19.14,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
65,Male,4,5,38,Sports,247.96,1,Khách hàng thông thường - Chi tiêu trung bình
46,Male,1,1,41,Home & Garden,329.9,1,Khách hàng thông thường - Chi tiêu trung bình
38,Male,73,7,20,Sports,665.25,1,Khách hàng thông thường - Chi tiêu trung bình
69,Male,57,6,28,Groceries,985.94,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Female,49,9,9,Electronics,785.55,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
25,Female,6,5,33,Electronics,832.57,1,Khách hàng thông thường - Chi tiêu trung bình
34,Other,99,4,47,Sports,122.21,1,Khách hàng thông thường - Chi tiêu trung bình
37,Male,89,3,2,Electronics,668.23,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
67,Female,57,3,19,Sports,670.51,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
28,Male,60,2,8,Home & Garden,362.41,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
55,Female,79,8,12,Clothing,632.6,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Female,83,9,11,Clothing,341.63,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Female,40,8,44,Home & Garden,866.72,0,Khách hàng thông thường - Chi tiêu trung bình
54,Other,21,2,27,Groceries,846.76,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Other,11,8,31,Electronics,481.24,0,Khách hàng thông thường - Chi tiêu trung bình
48,Male,14,10,3,Sports,210.43,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Female,3,9,38,Groceries,596.63,0,Khách hàng thông thường - Chi tiêu trung bình
41,Female,90,2,9,Clothing,688.61,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Other,96,3,21,Electronics,643.36,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Male,66,9,7,Clothing,441.11,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Other,29,6,26,Groceries,144.78,1,Khách hàng thông thường - Chi tiêu trung bình
36,Male,39,10,16,Groceries,233.08,0,Khách hàng thông thường - Chi tiêu trung bình
21,Male,12,2,20,Home & Garden,789.92,1,Khách hàng thông thường - Chi tiêu trung bình
29,Other,42,10,16,Home & Garden,862.54,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
24,Other,78,4,6,Groceries,572.31,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Other,54,8,29,Clothing,831.6,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Female,59,6,10,Home & Garden,954.05,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
20,Female,12,5,37,Home & Garden,902.24,1,Khách hàng thông thường - Chi tiêu trung bình
43,Female,96,3,2,Clothing,114.47,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Other,34,8,14,Clothing,937.86,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Female,9,7,10,Home & Garden,421.08,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Female,6,4,9,Groceries,877.51,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Male,53,3,36,Groceries,710.84,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
38,Other,62,5,24,Sports,645.43,1,Khách hàng thông thường - Chi tiêu trung bình
52,Other,11,9,2,Home & Garden,714.72,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Female,48,10,31,Clothing,656.9,0,Khách hàng thông thường - Chi tiêu trung bình
64,Other,40,4,42,Clothing,487.73,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
46,Male,57,5,48,Home & Garden,817.69,1,Khách hàng thông thường - Chi tiêu trung bình
46,Female,56,4,39,Clothing,592.97,0,Khách hàng thông thường - Chi tiêu trung bình
56,Other,46,7,12,Home & Garden,22.15,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Female,30,6,45,Electronics,159.13,0,Khách hàng thông thường - Chi tiêu trung bình
56,Male,46,5,5,Groceries,394.49,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Male,100,1,36,Electronics,178.68,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Other,90,10,14,Electronics,866.52,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Female,11,10,11,Sports,877.17,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
54,Other,24,3,46,Groceries,824.65,1,Khách hàng thông thường - Chi tiêu trung bình
20,Male,29,6,19,Electronics,351.64,0,Khách hàng thông thường - Chi tiêu trung bình
64,Other,74,2,3,Home & Garden,275.4,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Male,80,4,22,Groceries,15.04,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Female,52,4,42,Clothing,916.28,0,Khách hàng thông thường - Chi tiêu trung bình
44,Female,90,8,39,Electronics,769.0,0,Khách hàng thông thường - Chi tiêu trung bình
57,Male,66,6,28,Electronics,984.6,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Female,76,1,9,Home & Garden,803.28,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Other,87,5,20,Sports,322.29,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Other,44,5,20,Groceries,552.48,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Female,25,3,35,Electronics,273.38,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Female,74,3,12,Sports,828.04,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Female,71,9,36,Sports,799.33,0,Khách hàng thông thường - Chi tiêu trung bình
46,Male,50,9,46,Clothing,392.35,0,Khách hàng thông thường - Chi tiêu trung bình
26,Female,45,1,33,Clothing,219.67,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Other,79,10,43,Electronics,171.38,0,Khách hàng thông thường - Chi tiêu trung bình
62,Other,30,4,35,Clothing,121.0,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Female,68,4,46,Groceries,180.09,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Male,29,7,37,Electronics,432.65,0,Khách hàng thông thường - Chi tiêu trung bình
27,Other,83,8,33,Groceries,782.58,0,Khách hàng thông thường - Chi tiêu trung bình
31,Female,72,7,2,Sports,59.82,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Male,1,4,7,Home & Garden,371.62,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Male,13,3,27,Electronics,694.59,1,Khách hàng thông thường - Chi tiêu trung bình
24,Other,65,4,28,Groceries,434.84,1,Khách hàng thông thường - Chi tiêu trung bình
45,Female,33,10,32,Sports,391.45,0,Khách hàng thông thường - Chi tiêu trung bình
30,Male,83,8,17,Electronics,238.79,0,Khách hàng thông thường - Chi tiêu trung bình
27,Male,31,2,32,Home & Garden,994.1,1,Khách hàng thông thường - Chi tiêu trung bình
28,Other,82,10,8,Electronics,26.12,0,Khách hàng thông thường - Chi tiêu trung bình
61,Other,46,3,5,Clothing,604.29,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Other,47,1,49,Electronics,443.12,1,Khách hàng thông thường - Chi tiêu trung bình
62,Male,69,8,2,Groceries,468.37,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Other,96,2,5,Clothing,705.64,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
55,Female,94,1,14,Sports,737.91,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Male,100,4,20,Home & Garden,693.02,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Female,86,4,24,Electronics,800.46,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Male,18,8,50,Clothing,634.92,0,Khách hàng thông thường - Chi tiêu trung bình
65,Female,87,10,14,Sports,461.61,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
54,Female,48,6,20,Clothing,34.88,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Other,14,8,2,Clothing,387.39,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
25,Male,1,1,50,Groceries,937.86,1,Khách hàng thông thường - Chi tiêu trung bình
54,Male,73,2,44,Clothing,554.58,0,Khách hàng thông thường - Chi tiêu trung bình
32,Other,84,10,32,Groceries,863.93,0,Khách hàng thông thường - Chi tiêu trung bình
53,Other,92,6,39,Clothing,172.99,0,Khách hàng thông thường - Chi tiêu trung bình
32,Male,59,10,47,Groceries,846.85,0,Khách hàng thông thường - Chi tiêu trung bình
35,Other,27,3,41,Electronics,781.31,1,Khách hàng thông thường - Chi tiêu trung bình
53,Female,42,4,34,Home & Garden,795.81,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
54,Female,56,1,44,Groceries,216.09,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
36,Other,12,7,35,Groceries,590.32,1,Khách hàng thông thường - Chi tiêu trung bình
38,Male,23,1,28,Groceries,158.15,1,Khách hàng thông thường - Chi tiêu trung bình
42,Male,19,4,47,Sports,13.69,1,Khách hàng thông thường - Chi tiêu trung bình
48,Other,24,3,22,Home & Garden,594.94,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Female,19,9,21,Electronics,172.39,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Female,62,4,24,Clothing,177.69,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
54,Male,17,9,37,Sports,173.81,0,Khách hàng thông thường - Chi tiêu trung bình
65,Other,52,3,36,Clothing,70.22,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
44,Female,55,6,33,Groceries,501.34,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Male,44,4,17,Groceries,135.19,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
65,Male,85,9,42,Home & Garden,964.87,0,Khách hàng thông thường - Chi tiêu trung bình
66,Other,71,5,9,Clothing,10.4,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Female,64,8,38,Home & Garden,151.48,0,Khách hàng thông thường - Chi tiêu trung bình
47,Other,67,9,8,Clothing,885.33,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Female,19,1,5,Home & Garden,154.89,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Female,38,5,35,Clothing,633.5,0,Khách hàng thông thường - Chi tiêu trung bình
22,Female,70,1,24,Groceries,325.46,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Male,100,8,49,Sports,906.07,0,Khách hàng thông thường - Chi tiêu trung bình
51,Female,71,1,16,Clothing,542.03,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
35,Male,24,4,48,Sports,649.61,1,Khách hàng thông thường - Chi tiêu trung bình
59,Male,45,5,45,Sports,917.5,1,Khách hàng thông thường - Chi tiêu trung bình
33,Female,76,2,11,Sports,302.05,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
56,Male,48,6,43,Sports,422.32,1,Khách hàng thông thường - Chi tiêu trung bình
