age,gender,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Cluster,Cluster_Description
54,Female,56,5,50,Electronics,667.92,0,Khách hàng thông thường - Chi tiêu trung bình
25,Male,61,7,40,Groceries,317.98,0,Khách hàng thông thường - Chi tiêu trung bình
47,Male,16,7,42,Clothing,638.96,0,Khách hàng thông thường - Chi tiêu trung bình
42,Male,73,5,2,Clothing,942.97,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Female,2,9,20,Electronics,177.64,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,52,7,34,Electronics,154.67,0,Khách hàng thông thường - Chi tiêu trung bình
18,Other,40,7,31,Electronics,240.64,0,Khách hàng thông thường - Chi tiêu trung bình
22,Male,96,10,41,Electronics,491.64,0,Khách hàng thông thường - Chi tiêu trung bình
66,Male,79,4,8,Sports,334.95,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Male,91,8,6,Sports,275.71,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Other,85,8,13,Sports,486.58,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Other,64,2,37,Sports,462.62,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Male,7,2,30,Sports,813.37,1,Khách hàng thông thường - Chi tiêu trung bình
24,Other,71,9,41,Sports,606.18,1,Khách hàng thông thường - Chi tiêu trung bình
33,Male,49,10,45,Sports,641.53,0,Khách hàng thông thường - Chi tiêu trung bình
19,Male,10,5,41,Sports,406.32,1,Khách hàng thông thường - Chi tiêu trung bình
69,Female,40,2,15,Home & Garden,626.35,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
28,Male,8,10,22,Groceries,179.82,0,Khách hàng thông thường - Chi tiêu trung bình
32,Other,95,6,3,Electronics,31.72,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Other,9,3,11,Groceries,588.37,1,Khách hàng thông thường - Chi tiêu trung bình
45,Female,85,4,21,Groceries,944.07,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Female,64,4,48,Sports,926.69,1,Khách hàng thông thường - Chi tiêu trung bình
38,Male,1,6,6,Electronics,979.26,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Other,100,2,9,Home & Garden,75.03,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Female,96,3,13,Home & Garden,668.21,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Female,4,5,16,Electronics,923.37,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Other,13,9,40,Electronics,48.65,0,Khách hàng thông thường - Chi tiêu trung bình
33,Female,19,2,8,Clothing,255.08,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Male,64,1,34,Clothing,534.25,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Female,37,3,48,Sports,112.11,1,Khách hàng thông thường - Chi tiêu trung bình
23,Female,75,1,9,Clothing,826.02,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Male,39,5,50,Sports,34.5,1,Khách hàng thông thường - Chi tiêu trung bình
27,Male,63,1,28,Sports,36.39,1,Khách hàng thông thường - Chi tiêu trung bình
61,Male,44,7,11,Sports,573.31,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Male,38,9,45,Home & Garden,819.92,0,Khách hàng thông thường - Chi tiêu trung bình
36,Other,74,1,27,Sports,377.75,1,Khách hàng thông thường - Chi tiêu trung bình
28,Male,44,3,16,Sports,482.35,1,Khách hàng thông thường - Chi tiêu trung bình
46,Other,3,4,3,Sports,213.68,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Female,49,2,18,Sports,933.65,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Female,70,9,44,Home & Garden,192.46,0,Khách hàng thông thường - Chi tiêu trung bình
39,Male,53,5,24,Groceries,728.58,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Male,11,8,23,Electronics,27.4,0,Khách hàng thông thường - Chi tiêu trung bình
36,Male,88,8,49,Groceries,600.48,0,Khách hàng thông thường - Chi tiêu trung bình
33,Female,16,3,4,Electronics,998.51,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Other,70,1,1,Clothing,812.25,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Female,22,4,46,Groceries,954.91,1,Khách hàng thông thường - Chi tiêu trung bình
66,Female,3,1,32,Clothing,199.17,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Female,80,4,19,Clothing,860.95,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
44,Other,37,7,18,Groceries,769.16,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Other,23,9,24,Electronics,506.98,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Female,42,6,6,Home & Garden,73.13,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Male,32,6,48,Sports,863.47,1,Khách hàng thông thường - Chi tiêu trung bình
53,Male,85,2,45,Sports,338.69,1,Khách hàng thông thường - Chi tiêu trung bình
50,Male,83,3,17,Electronics,83.38,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
20,Male,100,5,5,Clothing,889.83,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Male,18,9,14,Sports,563.48,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Female,78,3,3,Home & Garden,886.44,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
66,Other,100,4,22,Sports,221.75,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
25,Female,53,1,14,Groceries,73.34,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Male,83,5,30,Home & Garden,845.33,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Male,84,4,28,Sports,149.07,1,Khách hàng thông thường - Chi tiêu trung bình
33,Male,17,7,28,Home & Garden,422.14,1,Khách hàng thông thường - Chi tiêu trung bình
63,Male,61,4,43,Home & Garden,390.89,1,Khách hàng thông thường - Chi tiêu trung bình
61,Other,92,5,8,Groceries,482.77,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Male,46,10,31,Groceries,143.75,0,Khách hàng thông thường - Chi tiêu trung bình
23,Male,10,3,47,Groceries,361.81,1,Khách hàng thông thường - Chi tiêu trung bình
56,Other,18,3,31,Electronics,515.16,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Other,85,10,30,Electronics,854.95,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Male,56,4,27,Clothing,452.32,0,Khách hàng thông thường - Chi tiêu trung bình
22,Other,75,7,49,Electronics,120.76,0,Khách hàng thông thường - Chi tiêu trung bình
45,Female,58,8,5,Home & Garden,870.38,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Female,43,6,24,Groceries,105.48,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Other,69,8,48,Clothing,760.34,0,Khách hàng thông thường - Chi tiêu trung bình
36,Female,40,4,6,Electronics,371.77,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Male,95,7,44,Electronics,97.65,0,Khách hàng thông thường - Chi tiêu trung bình
40,Female,6,8,26,Groceries,491.07,0,Khách hàng thông thường - Chi tiêu trung bình
48,Other,30,7,5,Clothing,480.55,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Male,62,2,1,Clothing,962.9,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Female,96,1,31,Electronics,266.83,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Female,92,5,9,Groceries,409.85,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Male,59,10,35,Electronics,363.86,0,Khách hàng thông thường - Chi tiêu trung bình
21,Female,17,10,12,Electronics,101.48,0,Khách hàng thông thường - Chi tiêu trung bình
51,Female,99,1,12,Groceries,215.92,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
46,Male,56,10,27,Clothing,766.26,0,Khách hàng thông thường - Chi tiêu trung bình
19,Male,50,4,49,Electronics,174.43,1,Khách hàng thông thường - Chi tiêu trung bình
33,Male,92,3,37,Home & Garden,626.82,1,Khách hàng thông thường - Chi tiêu trung bình
30,Male,23,9,6,Clothing,74.08,0,Khách hàng thông thường - Chi tiêu trung bình
51,Female,6,5,14,Sports,706.18,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Other,79,5,22,Electronics,203.15,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
20,Other,80,2,14,Groceries,48.5,1,Khách hàng thông thường - Chi tiêu trung bình
47,Other,69,5,40,Home & Garden,772.89,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Other,33,6,15,Clothing,865.65,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Male,22,4,37,Sports,274.96,1,Khách hàng thông thường - Chi tiêu trung bình
53,Male,21,1,47,Electronics,734.48,1,Khách hàng thông thường - Chi tiêu trung bình
22,Male,4,5,10,Sports,459.58,1,Khách hàng thông thường - Chi tiêu trung bình
62,Female,41,9,32,Sports,980.47,0,Khách hàng thông thường - Chi tiêu trung bình
29,Other,42,9,34,Sports,324.11,1,Khách hàng thông thường - Chi tiêu trung bình
28,Other,100,6,3,Groceries,728.67,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
46,Male,2,4,29,Home & Garden,486.5,1,Khách hàng thông thường - Chi tiêu trung bình
50,Male,57,7,21,Home & Garden,930.91,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
56,Other,58,7,30,Electronics,435.76,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Other,95,4,28,Clothing,936.04,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Male,76,8,26,Sports,13.46,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Female,33,10,47,Groceries,523.27,0,Khách hàng thông thường - Chi tiêu trung bình
20,Male,64,5,18,Electronics,495.49,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Female,33,4,47,Clothing,251.23,0,Khách hàng thông thường - Chi tiêu trung bình
47,Male,25,4,12,Home & Garden,237.34,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Female,69,9,27,Electronics,141.72,0,Khách hàng thông thường - Chi tiêu trung bình
39,Male,45,3,46,Home & Garden,415.19,1,Khách hàng thông thường - Chi tiêu trung bình
30,Male,88,5,47,Home & Garden,131.84,1,Khách hàng thông thường - Chi tiêu trung bình
41,Other,34,3,30,Home & Garden,460.25,1,Khách hàng thông thường - Chi tiêu trung bình
53,Other,29,4,5,Electronics,744.11,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Female,28,6,31,Home & Garden,98.32,1,Khách hàng thông thường - Chi tiêu trung bình
42,Female,72,4,40,Home & Garden,166.45,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Female,39,10,43,Electronics,99.52,0,Khách hàng thông thường - Chi tiêu trung bình
60,Other,73,3,5,Home & Garden,642.3,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Female,5,1,5,Clothing,25.86,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Male,98,5,35,Electronics,616.66,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Male,55,3,24,Groceries,943.37,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Other,51,8,1,Clothing,906.75,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Other,13,2,39,Sports,66.6,1,Khách hàng thông thường - Chi tiêu trung bình
29,Other,39,5,50,Groceries,803.87,1,Khách hàng thông thường - Chi tiêu trung bình
53,Other,92,6,48,Sports,814.52,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
20,Male,40,3,6,Electronics,777.44,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Other,26,8,47,Sports,356.67,1,Khách hàng thông thường - Chi tiêu trung bình
30,Female,99,4,27,Clothing,320.95,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
59,Other,37,9,44,Clothing,483.66,0,Khách hàng thông thường - Chi tiêu trung bình
41,Male,50,5,36,Home & Garden,490.62,1,Khách hàng thông thường - Chi tiêu trung bình
19,Male,8,9,15,Groceries,116.8,0,Khách hàng thông thường - Chi tiêu trung bình
27,Female,22,3,10,Electronics,551.43,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Other,63,2,23,Sports,411.86,1,Khách hàng thông thường - Chi tiêu trung bình
65,Male,83,7,46,Groceries,971.93,0,Khách hàng thông thường - Chi tiêu trung bình
64,Female,76,2,48,Home & Garden,49.06,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Female,37,7,38,Groceries,640.55,0,Khách hàng thông thường - Chi tiêu trung bình
29,Female,41,5,31,Sports,507.62,1,Khách hàng thông thường - Chi tiêu trung bình
43,Female,14,6,49,Electronics,886.61,0,Khách hàng thông thường - Chi tiêu trung bình
51,Other,50,8,23,Electronics,916.04,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Female,15,3,4,Electronics,248.68,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
24,Female,20,1,4,Clothing,636.29,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Other,6,5,2,Home & Garden,704.32,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
34,Female,95,3,38,Home & Garden,304.86,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Male,70,8,46,Groceries,178.21,0,Khách hàng thông thường - Chi tiêu trung bình
57,Male,28,6,42,Home & Garden,741.41,1,Khách hàng thông thường - Chi tiêu trung bình
59,Other,28,4,5,Sports,204.25,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
34,Female,38,7,28,Electronics,647.35,0,Khách hàng thông thường - Chi tiêu trung bình
64,Female,2,7,50,Sports,84.98,1,Khách hàng thông thường - Chi tiêu trung bình
54,Male,83,3,2,Sports,45.2,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
67,Other,10,1,36,Groceries,646.16,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Male,78,6,50,Electronics,720.47,0,Khách hàng thông thường - Chi tiêu trung bình
24,Other,11,2,4,Electronics,838.19,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Female,49,2,6,Groceries,420.03,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Male,96,3,26,Sports,26.1,1,Khách hàng thông thường - Chi tiêu trung bình
47,Other,32,8,27,Groceries,686.5,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Female,36,3,46,Electronics,499.07,1,Khách hàng thông thường - Chi tiêu trung bình
32,Other,34,6,41,Electronics,65.15,0,Khách hàng thông thường - Chi tiêu trung bình
41,Male,35,7,14,Home & Garden,232.42,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Male,97,1,35,Sports,204.55,1,Khách hàng thông thường - Chi tiêu trung bình
45,Other,70,6,9,Groceries,218.77,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Other,45,10,42,Clothing,132.6,0,Khách hàng thông thường - Chi tiêu trung bình
27,Male,44,6,8,Electronics,654.05,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Male,79,2,34,Clothing,762.06,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
35,Other,38,10,11,Clothing,79.27,0,Khách hàng thông thường - Chi tiêu trung bình
54,Female,14,4,11,Sports,138.81,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Female,50,4,27,Sports,758.44,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
66,Other,40,10,7,Home & Garden,566.59,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Female,70,3,32,Groceries,760.27,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
56,Other,47,5,6,Groceries,725.26,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
37,Male,26,5,47,Home & Garden,94.79,1,Khách hàng thông thường - Chi tiêu trung bình
31,Other,62,9,25,Sports,914.63,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Female,53,9,36,Clothing,30.13,0,Khách hàng thông thường - Chi tiêu trung bình
27,Female,29,7,29,Sports,976.83,1,Khách hàng thông thường - Chi tiêu trung bình
52,Male,79,6,44,Clothing,95.17,0,Khách hàng thông thường - Chi tiêu trung bình
55,Other,36,6,31,Home & Garden,900.16,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
34,Male,27,2,17,Home & Garden,954.46,1,Khách hàng thông thường - Chi tiêu trung bình
30,Male,76,6,33,Home & Garden,596.98,1,Khách hàng thông thường - Chi tiêu trung bình
47,Female,36,1,4,Clothing,913.84,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Other,14,5,39,Electronics,981.04,1,Khách hàng thông thường - Chi tiêu trung bình
64,Female,12,6,17,Home & Garden,126.15,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Female,39,5,33,Groceries,451.86,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Female,99,7,38,Groceries,808.89,0,Khách hàng thông thường - Chi tiêu trung bình
63,Other,60,4,45,Home & Garden,943.5,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
46,Female,6,10,27,Sports,559.73,0,Khách hàng thông thường - Chi tiêu trung bình
36,Other,98,7,49,Clothing,55.21,0,Khách hàng thông thường - Chi tiêu trung bình
49,Other,95,8,22,Electronics,143.0,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Male,27,7,2,Electronics,269.2,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Female,54,10,37,Home & Garden,750.51,0,Khách hàng thông thường - Chi tiêu trung bình
42,Male,8,9,18,Clothing,880.45,0,Khách hàng thông thường - Chi tiêu trung bình
37,Male,64,9,49,Home & Garden,117.52,0,Khách hàng thông thường - Chi tiêu trung bình
30,Male,78,2,48,Clothing,621.73,0,Khách hàng thông thường - Chi tiêu trung bình
59,Male,22,2,36,Home & Garden,625.33,1,Khách hàng thông thường - Chi tiêu trung bình
30,Male,15,4,11,Sports,250.07,1,Khách hàng thông thường - Chi tiêu trung bình
69,Other,38,5,11,Clothing,830.03,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Female,50,4,46,Clothing,659.67,0,Khách hàng thông thường - Chi tiêu trung bình
53,Other,93,8,1,Groceries,109.54,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Male,28,6,23,Electronics,800.78,0,Khách hàng thông thường - Chi tiêu trung bình
28,Female,80,3,22,Groceries,471.87,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Male,76,2,28,Sports,902.66,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Male,79,8,21,Electronics,40.32,0,Khách hàng thông thường - Chi tiêu trung bình
61,Male,4,9,8,Groceries,795.49,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
36,Female,99,7,6,Sports,217.78,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Other,28,4,1,Electronics,612.54,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
55,Other,64,2,19,Clothing,932.41,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
31,Male,8,5,2,Electronics,984.15,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
31,Male,34,9,32,Groceries,753.49,0,Khách hàng thông thường - Chi tiêu trung bình
26,Female,92,9,50,Electronics,37.57,0,Khách hàng thông thường - Chi tiêu trung bình
26,Female,61,3,12,Home & Garden,358.22,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Female,14,2,47,Sports,104.35,1,Khách hàng thông thường - Chi tiêu trung bình
42,Male,23,9,35,Clothing,400.23,0,Khách hàng thông thường - Chi tiêu trung bình
29,Female,68,3,39,Clothing,258.09,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Female,42,5,22,Sports,219.02,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Male,100,9,49,Clothing,170.56,0,Khách hàng thông thường - Chi tiêu trung bình
44,Female,40,8,31,Clothing,140.52,0,Khách hàng thông thường - Chi tiêu trung bình
43,Female,67,5,41,Electronics,179.71,0,Khách hàng thông thường - Chi tiêu trung bình
43,Other,12,4,26,Sports,117.85,1,Khách hàng thông thường - Chi tiêu trung bình
18,Male,37,6,28,Home & Garden,428.33,1,Khách hàng thông thường - Chi tiêu trung bình
19,Female,26,6,20,Electronics,385.1,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Male,54,2,36,Sports,789.67,1,Khách hàng thông thường - Chi tiêu trung bình
43,Other,71,10,35,Electronics,698.03,0,Khách hàng thông thường - Chi tiêu trung bình
48,Female,23,10,46,Sports,626.27,0,Khách hàng thông thường - Chi tiêu trung bình
47,Male,76,10,48,Clothing,233.64,0,Khách hàng thông thường - Chi tiêu trung bình
57,Female,77,3,37,Home & Garden,623.78,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
21,Female,21,8,50,Sports,772.63,1,Khách hàng thông thường - Chi tiêu trung bình
69,Other,58,5,30,Electronics,103.11,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Male,66,10,38,Groceries,912.58,0,Khách hàng thông thường - Chi tiêu trung bình
45,Male,99,1,42,Home & Garden,683.99,1,Khách hàng thông thường - Chi tiêu trung bình
20,Male,27,3,28,Groceries,658.54,1,Khách hàng thông thường - Chi tiêu trung bình
21,Other,28,3,7,Sports,397.54,1,Khách hàng thông thường - Chi tiêu trung bình
48,Female,3,8,39,Clothing,15.72,0,Khách hàng thông thường - Chi tiêu trung bình
40,Other,39,9,17,Home & Garden,347.21,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Other,2,6,49,Home & Garden,348.51,1,Khách hàng thông thường - Chi tiêu trung bình
28,Other,39,5,30,Groceries,591.64,1,Khách hàng thông thường - Chi tiêu trung bình
50,Male,77,8,11,Sports,964.1,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Male,77,8,29,Home & Garden,381.04,0,Khách hàng thông thường - Chi tiêu trung bình
53,Female,12,5,33,Groceries,444.09,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Other,85,2,8,Electronics,743.3,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Male,6,8,29,Electronics,604.53,0,Khách hàng thông thường - Chi tiêu trung bình
23,Other,7,6,40,Electronics,322.64,1,Khách hàng thông thường - Chi tiêu trung bình
38,Other,10,7,25,Clothing,632.99,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Female,76,10,14,Clothing,979.39,0,Khách hàng thông thường - Chi tiêu trung bình
28,Male,74,4,10,Clothing,297.17,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Female,52,5,42,Electronics,891.19,0,Khách hàng thông thường - Chi tiêu trung bình
61,Male,27,2,17,Electronics,177.5,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Female,18,4,28,Electronics,317.78,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Female,24,3,36,Electronics,121.22,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Other,38,7,5,Home & Garden,144.0,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Male,81,5,30,Sports,505.24,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
56,Male,20,10,35,Electronics,808.16,0,Khách hàng thông thường - Chi tiêu trung bình
30,Female,93,9,43,Groceries,825.85,0,Khách hàng thông thường - Chi tiêu trung bình
60,Male,99,10,3,Electronics,983.3,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Male,40,10,17,Groceries,307.42,0,Khách hàng thông thường - Chi tiêu trung bình
57,Female,69,4,29,Groceries,570.87,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,30,1,19,Home & Garden,661.7,1,Khách hàng thông thường - Chi tiêu trung bình
